epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.97871,2.24486,3.45362,1.8321,0.00633,0.34545,0.01314,0.00641,2.14429,3.38342,1.67185,4e-05,4e-05,4e-05
2,2.69293,2.13593,3.35747,1.84336,0.00667,0.36364,0.01329,0.00656,2.11345,3.40002,1.70103,9.67e-05,9.67e-05,9.67e-05
3,3.47387,2.17643,3.41422,1.79253,0.008,0.43636,0.02531,0.01073,2.19794,3.36621,1.73107,0.00014944,0.00014944,0.00014944
4,4.24404,1.9023,3.13853,1.65646,0.00833,0.45455,0.06791,0.02439,2.15425,3.34871,1.66806,0.00019822,0.00019822,0.00019822
5,5.01108,2.0649,2.81723,1.6503,0.00833,0.45455,0.05861,0.02447,2.01476,3.32189,1.57933,0.00024304,0.00024304,0.00024304
6,5.75233,1.80755,2.53047,1.54769,0.00833,0.45455,0.05422,0.02363,1.89669,3.32039,1.58577,0.0002839,0.0002839,0.0002839
7,6.49235,1.78549,2.30532,1.4678,0.00967,0.52727,0.06219,0.03034,1.8477,3.24444,1.51907,0.0003208,0.0003208,0.0003208
8,7.27768,1.79198,2.41383,1.53171,0.00933,0.50909,0.05839,0.0273,1.82634,3.2294,1.51568,0.00035374,0.00035374,0.00035374
9,8.02368,1.66352,2.17703,1.47188,0.008,0.43636,0.06424,0.02106,1.84189,3.25329,1.59549,0.00038272,0.00038272,0.00038272
10,8.73569,1.59966,2.12329,1.4287,0.00867,0.47273,0.08121,0.0313,1.84312,3.28394,1.6258,0.00040774,0.00040774,0.00040774
11,9.4808,1.64004,2.14806,1.42501,0.009,0.49091,0.08949,0.02934,1.84949,3.27846,1.61632,0.0004288,0.0004288,0.0004288
12,10.1959,1.60094,1.97271,1.40771,0.00933,0.50909,0.09381,0.03742,1.81675,3.22523,1.58068,0.0004459,0.0004459,0.0004459
13,10.9511,1.68895,2.00164,1.40619,0.01133,0.61818,0.085,0.04596,1.97346,3.07904,1.52022,0.00045904,0.00045904,0.00045904
14,11.6763,1.48663,1.94627,1.32924,0.01133,0.61818,0.07874,0.03417,1.99301,3.08113,1.55792,0.00046822,0.00046822,0.00046822
15,12.4303,1.48093,1.85306,1.30479,0.36217,0.05455,0.04511,0.02242,2.08375,3.26376,1.64805,0.00047344,0.00047344,0.00047344
16,13.1739,1.51048,1.81757,1.32084,0.22098,0.09091,0.04715,0.01996,2.11448,3.31175,1.68432,0.0004747,0.0004747,0.0004747
17,13.939,1.40394,1.86663,1.26267,0.00967,0.52727,0.04547,0.02424,2.14144,3.28238,1.71516,0.000472,0.000472,0.000472
18,14.6701,1.48265,1.75059,1.26922,0.01724,0.10909,0.0587,0.02905,2.07799,3.26591,1.67878,0.00046534,0.00046534,0.00046534
19,15.4211,1.48968,1.83937,1.3213,0.12627,0.12727,0.06709,0.03366,2.05579,3.24311,1.67827,0.00045472,0.00045472,0.00045472
20,16.1431,1.46058,1.67054,1.2613,0.37874,0.07273,0.09016,0.04536,1.95758,3.1507,1.60274,0.00044014,0.00044014,0.00044014
21,30.2921,1.46324,1.94992,1.28646,0.33561,0.05455,0.09998,0.04787,1.95292,3.10798,1.60409,0.0004216,0.0004216,0.0004216
22,31.0162,1.36863,2.10903,1.20413,0.37619,0.07273,0.11732,0.05044,1.89917,3.07824,1.59073,0.0003991,0.0003991,0.0003991
23,31.7587,1.31894,1.76779,1.22526,0.45873,0.09091,0.11296,0.05238,1.82972,3.08596,1.56135,0.00037264,0.00037264,0.00037264
24,32.5008,1.44592,1.95718,1.30067,0.50039,0.05455,0.10692,0.05383,1.85097,3.07455,1.53745,0.00034222,0.00034222,0.00034222
25,33.236,1.44649,1.77946,1.26106,0.60368,0.05455,0.11028,0.06269,1.8475,3.02987,1.52901,0.00030784,0.00030784,0.00030784
26,33.9911,1.30692,1.77024,1.17259,0.58209,0.09091,0.13588,0.06592,1.85253,2.96784,1.53271,0.0002695,0.0002695,0.0002695
27,34.7395,1.23458,1.71229,1.15538,0.51713,0.09091,0.14189,0.06609,1.85815,2.93023,1.53221,0.0002272,0.0002272,0.0002272
28,35.4706,1.31702,1.70984,1.17151,0.63287,0.12553,0.17342,0.07413,1.90786,2.85857,1.51827,0.00018094,0.00018094,0.00018094
29,36.1797,1.40639,1.71067,1.16996,0.63287,0.12553,0.17342,0.07413,1.90786,2.85857,1.51827,0.00013072,0.00013072,0.00013072
30,36.9139,1.3268,1.63248,1.16357,0.46082,0.12727,0.20255,0.08793,1.93124,2.77215,1.52645,7.654e-05,7.654e-05,7.654e-05
